customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,customer_phone,customer_since,reject_reason
C10,Cust_10,,Silver,0.0,,,9116070149,2023-01-01,has_null
C20,Cust_20,,Silver,0.0,,,9767741192,2023-01-01,has_null
C30,Cust_30,,Bronze,0.0,,,9829445037,2023-01-01,has_null
C40,Cust_40,,Silver,0.0,,,9044097647,2023-01-01,has_null
C50,Cust_50,,Bronze,0.0,,,9013585139,2023-01-01,has_null
C60,Cust_60,,Bronze,0.0,,,9889817696,2023-01-01,has_null
C70,Cust_70,,Gold,0.0,,,9661330848,2023-01-01,has_null
C80,Cust_80,,Bronze,0.0,,,9636164778,2023-01-01,has_null
C90,Cust_90,,Gold,0.0,,,9261846370,2023-01-01,has_null
C100,Cust_100,,Bronze,0.0,,,9913703651,2023-01-01,has_null
C110,Cust_110,,Gold,0.0,,,9945236377,2023-01-01,has_null
C120,Cust_120,,Bronze,0.0,,,9259154084,2023-01-01,has_null
C130,Cust_130,,Bronze,0.0,,,9764334960,2023-01-01,has_null
C140,Cust_140,,Silver,0.0,,,9261246928,2023-01-01,has_null
C150,Cust_150,,Silver,0.0,,,9800942073,2023-01-01,has_null
C160,Cust_160,,Gold,0.0,,,9129553265,2023-01-01,has_null
C170,Cust_170,,Silver,0.0,,,9205665554,2023-01-01,has_null
C180,Cust_180,,Silver,0.0,,,9303867539,2023-01-01,has_null
C190,Cust_190,,Gold,0.0,,,9760229059,2023-01-01,has_null
C200,Cust_200,,Silver,0.0,,,9684907325,2023-01-01,has_null
C210,Cust_210,,Bronze,0.0,,,9514015466,2023-01-01,has_null
C220,Cust_220,,Gold,0.0,,,9070161976,2023-01-01,has_null
C230,Cust_230,,Silver,0.0,,,9870957171,2023-01-01,has_null
C240,Cust_240,,Gold,0.0,,,9640086326,2023-01-01,has_null
C250,Cust_250,,Gold,0.0,,,9319280490,2023-01-01,has_null
C260,Cust_260,,Bronze,0.0,,,9106551233,2023-01-01,has_null
C270,Cust_270,,Silver,0.0,,,9186630878,2023-01-01,has_null
C280,Cust_280,,Silver,0.0,,,9312737284,2023-01-01,has_null
C290,Cust_290,,Gold,0.0,,,9738073939,2023-01-01,has_null
C300,Cust_300,,Silver,0.0,,,9212406764,2023-01-01,has_null
C310,Cust_310,,Bronze,0.0,,,9152725050,2023-01-01,has_null
C320,Cust_320,,Silver,0.0,,,9989122949,2023-01-01,has_null
C330,Cust_330,,Silver,0.0,,,9537377910,2023-01-01,has_null
C340,Cust_340,,Bronze,0.0,,,9346090161,2023-01-01,has_null
C350,Cust_350,,Gold,0.0,,,9630418447,2023-01-01,has_null
C360,Cust_360,,Gold,0.0,,,9188109614,2023-01-01,has_null
C370,Cust_370,,Silver,0.0,,,9681594897,2023-01-01,has_null
C380,Cust_380,,Silver,0.0,,,9112313264,2023-01-01,has_null
C390,Cust_390,,Silver,0.0,,,9873559879,2023-01-01,has_null
C400,Cust_400,,Gold,0.0,,,9829517022,2023-01-01,has_null
C410,Cust_410,,Bronze,0.0,,,9443721204,2023-01-01,has_null
C420,Cust_420,,Silver,0.0,,,9816033628,2023-01-01,has_null
C430,Cust_430,,Silver,0.0,,,9749740261,2023-01-01,has_null
C440,Cust_440,,Silver,0.0,,,9333665422,2023-01-01,has_null
C450,Cust_450,,Gold,0.0,,,9495475899,2023-01-01,has_null
C460,Cust_460,,Silver,0.0,,,9293587744,2023-01-01,has_null
C470,Cust_470,,Silver,0.0,,,9204666325,2023-01-01,has_null
C480,Cust_480,,Bronze,0.0,,,9829653607,2023-01-01,has_null
C490,Cust_490,,Bronze,0.0,,,9303696046,2023-01-01,has_null
C500,Cust_500,,Bronze,0.0,,,9479476614,2023-01-01,has_null
