customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,customer_phone,customer_since
C1,Cust_1,cust1@mail.com,Gold,0.0,,,9650572325,2023-01-01
C2,Cust_2,cust2@mail.com,Bronze,0.0,,,9652027025,2023-01-01
C3,Cust_3,cust3@mail.com,Bronze,0.0,,,9803079055,2023-01-01
C4,Cust_4,cust4@mail.com,Gold,0.0,,,9771330207,2023-01-01
C5,Cust_5,cust5@mail.com,Gold,0.0,,,9122978730,2023-01-01
C6,Cust_6,cust6@mail.com,Bronze,0.0,,,9835147672,2023-01-01
C7,Cust_7,cust7@mail.com,Bronze,0.0,,,9879717936,2023-01-01
C8,Cust_8,cust8@mail.com,Bronze,0.0,,,9175842194,2023-01-01
C9,Cust_9,cust9@mail.com,Bronze,0.0,,,9333975497,2023-01-01
C11,Cust_11,cust11@mail.com,Silver,0.0,,,9621358005,2023-01-01
C12,Cust_12,cust12@mail.com,Silver,0.0,,,9027571992,2023-01-01
C13,Cust_13,cust13@mail.com,Bronze,0.0,,,9997385005,2023-01-01
C14,Cust_14,cust14@mail.com,Silver,0.0,,,9334961542,2023-01-01
C15,Cust_15,invalid_email,Bronze,0.0,,,9618257024,2023-01-01
C16,Cust_16,cust16@mail.com,Bronze,0.0,,,9727296111,2023-01-01
C17,Cust_17,cust17@mail.com,Silver,0.0,,,9974985653,2023-01-01
C18,Cust_18,cust18@mail.com,Bronze,0.0,,,9402982778,2023-01-01
C19,Cust_19,cust19@mail.com,Silver,0.0,,,9425904456,2023-01-01
C21,Cust_21,cust21@mail.com,Silver,0.0,,,9212954978,2023-01-01
C22,Cust_22,cust22@mail.com,Silver,0.0,,,9081600593,2023-01-01
C23,Cust_23,cust23@mail.com,Silver,0.0,,,9635760237,2023-01-01
C24,Cust_24,cust24@mail.com,Gold,0.0,,,9741541582,2023-01-01
C25,Cust_25,cust25@mail.com,Gold,0.0,,,9891819497,2023-01-01
C26,Cust_26,cust26@mail.com,Gold,0.0,,,9673496394,2023-01-01
C27,Cust_27,cust27@mail.com,Gold,0.0,,,9260757540,2023-01-01
C28,Cust_28,cust28@mail.com,Gold,0.0,,,9109415691,2023-01-01
C29,Cust_29,cust29@mail.com,Silver,0.0,,,9748605284,2023-01-01
C31,Cust_31,cust31@mail.com,Bronze,0.0,,,9323821937,2023-01-01
C32,Cust_32,cust32@mail.com,Silver,0.0,,,9912995414,2023-01-01
C33,Cust_33,cust33@mail.com,Bronze,0.0,,,9734717549,2023-01-01
C34,Cust_34,cust34@mail.com,Bronze,0.0,,,9644687060,2023-01-01
C35,Cust_35,cust35@mail.com,Gold,0.0,,,9864929067,2023-01-01
C36,Cust_36,cust36@mail.com,Gold,0.0,,,9129981882,2023-01-01
C37,Cust_37,cust37@mail.com,Gold,0.0,,,9854942461,2023-01-01
C38,Cust_38,cust38@mail.com,Bronze,0.0,,,9607665448,2023-01-01
C39,Cust_39,cust39@mail.com,Gold,0.0,,,9840348305,2023-01-01
C41,Cust_41,cust41@mail.com,Bronze,0.0,,,9372807202,2023-01-01
C42,Cust_42,cust42@mail.com,Bronze,0.0,,,9572030854,2023-01-01
C43,Cust_43,cust43@mail.com,Gold,0.0,,,9459967386,2023-01-01
C44,Cust_44,cust44@mail.com,Silver,0.0,,,9710303128,2023-01-01
C45,Cust_45,invalid_email,Gold,0.0,,,9397897455,2023-01-01
C46,Cust_46,cust46@mail.com,Gold,0.0,,,9074041730,2023-01-01
C47,Cust_47,cust47@mail.com,Bronze,0.0,,,9543271261,2023-01-01
C48,Cust_48,cust48@mail.com,Bronze,0.0,,,9695294275,2023-01-01
C49,Cust_49,cust49@mail.com,Gold,0.0,,,9366394187,2023-01-01
C51,Cust_51,cust51@mail.com,Bronze,0.0,,,9912224883,2023-01-01
C52,Cust_52,cust52@mail.com,Bronze,0.0,,,9451034639,2023-01-01
C53,Cust_53,cust53@mail.com,Gold,0.0,,,9882971099,2023-01-01
C54,Cust_54,cust54@mail.com,Bronze,0.0,,,9526350075,2023-01-01
C55,Cust_55,cust55@mail.com,Gold,0.0,,,9113321496,2023-01-01
C56,Cust_56,cust56@mail.com,Bronze,0.0,,,9465492204,2023-01-01
C57,Cust_57,cust57@mail.com,Silver,0.0,,,9388896443,2023-01-01
C58,Cust_58,cust58@mail.com,Bronze,0.0,,,9682454310,2023-01-01
C59,Cust_59,cust59@mail.com,Gold,0.0,,,9957321378,2023-01-01
C61,Cust_61,cust61@mail.com,Gold,0.0,,,9493641365,2023-01-01
C62,Cust_62,cust62@mail.com,Gold,0.0,,,9759466878,2023-01-01
C63,Cust_63,cust63@mail.com,Bronze,0.0,,,9164272995,2023-01-01
C64,Cust_64,cust64@mail.com,Gold,0.0,,,9467600762,2023-01-01
C65,Cust_65,cust65@mail.com,Bronze,0.0,,,9189125618,2023-01-01
C66,Cust_66,cust66@mail.com,Silver,0.0,,,9787906704,2023-01-01
C67,Cust_67,cust67@mail.com,Gold,0.0,,,9560221300,2023-01-01
C68,Cust_68,cust68@mail.com,Gold,0.0,,,9698423334,2023-01-01
C69,Cust_69,cust69@mail.com,Gold,0.0,,,9289998761,2023-01-01
C71,Cust_71,cust71@mail.com,Silver,0.0,,,9867797300,2023-01-01
C72,Cust_72,cust72@mail.com,Silver,0.0,,,9987431941,2023-01-01
C73,Cust_73,cust73@mail.com,Bronze,0.0,,,9577858758,2023-01-01
C74,Cust_74,cust74@mail.com,Gold,0.0,,,9831764920,2023-01-01
C75,Cust_75,invalid_email,Gold,0.0,,,9519151495,2023-01-01
C76,Cust_76,cust76@mail.com,Silver,0.0,,,9499154414,2023-01-01
C77,Cust_77,cust77@mail.com,Bronze,0.0,,,9467694547,2023-01-01
C78,Cust_78,cust78@mail.com,Silver,0.0,,,9886625773,2023-01-01
C79,Cust_79,cust79@mail.com,Silver,0.0,,,9784933416,2023-01-01
C81,Cust_81,cust81@mail.com,Gold,0.0,,,9288187517,2023-01-01
C82,Cust_82,cust82@mail.com,Gold,0.0,,,9346071904,2023-01-01
C83,Cust_83,cust83@mail.com,Silver,0.0,,,9914520040,2023-01-01
C84,Cust_84,cust84@mail.com,Silver,0.0,,,9263598427,2023-01-01
C85,Cust_85,cust85@mail.com,Silver,0.0,,,9891990632,2023-01-01
C86,Cust_86,cust86@mail.com,Bronze,0.0,,,9093053577,2023-01-01
C87,Cust_87,cust87@mail.com,Bronze,0.0,,,9299496923,2023-01-01
C88,Cust_88,cust88@mail.com,Silver,0.0,,,9946644279,2023-01-01
C89,Cust_89,cust89@mail.com,Gold,0.0,,,9484044963,2023-01-01
C91,Cust_91,cust91@mail.com,Bronze,0.0,,,9805817775,2023-01-01
C92,Cust_92,cust92@mail.com,Bronze,0.0,,,9498976917,2023-01-01
C93,Cust_93,cust93@mail.com,Gold,0.0,,,9611871397,2023-01-01
C94,Cust_94,cust94@mail.com,Bronze,0.0,,,9655338677,2023-01-01
C95,Cust_95,cust95@mail.com,Gold,0.0,,,9717461907,2023-01-01
C96,Cust_96,cust96@mail.com,Silver,0.0,,,9406936666,2023-01-01
C97,Cust_97,cust97@mail.com,Bronze,0.0,,,9361203124,2023-01-01
C98,Cust_98,cust98@mail.com,Silver,0.0,,,9030816384,2023-01-01
C99,Cust_99,cust99@mail.com,Bronze,0.0,,,9530757561,2023-01-01
C101,Cust_101,cust101@mail.com,Silver,0.0,,,9348981305,2023-01-01
C102,Cust_102,cust102@mail.com,Silver,0.0,,,9195249057,2023-01-01
C103,Cust_103,cust103@mail.com,Bronze,0.0,,,9523502759,2023-01-01
C104,Cust_104,cust104@mail.com,Silver,0.0,,,9227761953,2023-01-01
C105,Cust_105,invalid_email,Gold,0.0,,,9380990401,2023-01-01
C106,Cust_106,cust106@mail.com,Gold,0.0,,,9856665975,2023-01-01
C107,Cust_107,cust107@mail.com,Silver,0.0,,,9277403790,2023-01-01
C108,Cust_108,cust108@mail.com,Gold,0.0,,,9365436049,2023-01-01
C109,Cust_109,cust109@mail.com,Gold,0.0,,,9300281010,2023-01-01
C111,Cust_111,cust111@mail.com,Bronze,0.0,,,9640116562,2023-01-01
C112,Cust_112,cust112@mail.com,Gold,0.0,,,9752890318,2023-01-01
C113,Cust_113,cust113@mail.com,Gold,0.0,,,9945008067,2023-01-01
C114,Cust_114,cust114@mail.com,Silver,0.0,,,9296641124,2023-01-01
C115,Cust_115,cust115@mail.com,Gold,0.0,,,9596776072,2023-01-01
C116,Cust_116,cust116@mail.com,Bronze,0.0,,,9010899674,2023-01-01
C117,Cust_117,cust117@mail.com,Bronze,0.0,,,9554724287,2023-01-01
C118,Cust_118,cust118@mail.com,Silver,0.0,,,9205145276,2023-01-01
C119,Cust_119,cust119@mail.com,Bronze,0.0,,,9091926217,2023-01-01
C121,Cust_121,cust121@mail.com,Gold,0.0,,,9773174285,2023-01-01
C122,Cust_122,cust122@mail.com,Gold,0.0,,,9436398872,2023-01-01
C123,Cust_123,cust123@mail.com,Bronze,0.0,,,9524606470,2023-01-01
C124,Cust_124,cust124@mail.com,Silver,0.0,,,9596115913,2023-01-01
C125,Cust_125,cust125@mail.com,Silver,0.0,,,9814073098,2023-01-01
C126,Cust_126,cust126@mail.com,Gold,0.0,,,9258045858,2023-01-01
C127,Cust_127,cust127@mail.com,Bronze,0.0,,,9741536135,2023-01-01
C128,Cust_128,cust128@mail.com,Gold,0.0,,,9511201082,2023-01-01
C129,Cust_129,cust129@mail.com,Silver,0.0,,,9693532952,2023-01-01
C131,Cust_131,cust131@mail.com,Gold,0.0,,,9527015393,2023-01-01
C132,Cust_132,cust132@mail.com,Gold,0.0,,,9481223755,2023-01-01
C133,Cust_133,cust133@mail.com,Silver,0.0,,,9851405188,2023-01-01
C134,Cust_134,cust134@mail.com,Gold,0.0,,,9018514813,2023-01-01
C135,Cust_135,invalid_email,Silver,0.0,,,9099915275,2023-01-01
C136,Cust_136,cust136@mail.com,Silver,0.0,,,9315933049,2023-01-01
C137,Cust_137,cust137@mail.com,Bronze,0.0,,,9237937327,2023-01-01
C138,Cust_138,cust138@mail.com,Bronze,0.0,,,9434222401,2023-01-01
C139,Cust_139,cust139@mail.com,Gold,0.0,,,9742800803,2023-01-01
C141,Cust_141,cust141@mail.com,Silver,0.0,,,9328786222,2023-01-01
C142,Cust_142,cust142@mail.com,Bronze,0.0,,,9712921644,2023-01-01
C143,Cust_143,cust143@mail.com,Bronze,0.0,,,9624440558,2023-01-01
C144,Cust_144,cust144@mail.com,Silver,0.0,,,9396232693,2023-01-01
C145,Cust_145,cust145@mail.com,Bronze,0.0,,,9508159580,2023-01-01
C146,Cust_146,cust146@mail.com,Gold,0.0,,,9594287057,2023-01-01
C147,Cust_147,cust147@mail.com,Silver,0.0,,,9570073085,2023-01-01
C148,Cust_148,cust148@mail.com,Bronze,0.0,,,9369106688,2023-01-01
C149,Cust_149,cust149@mail.com,Gold,0.0,,,9456881239,2023-01-01
C151,Cust_151,cust151@mail.com,Gold,0.0,,,9590975123,2023-01-01
C152,Cust_152,cust152@mail.com,Gold,0.0,,,9355184454,2023-01-01
C153,Cust_153,cust153@mail.com,Silver,0.0,,,9377753674,2023-01-01
C154,Cust_154,cust154@mail.com,Gold,0.0,,,9754684750,2023-01-01
C155,Cust_155,cust155@mail.com,Bronze,0.0,,,9487205269,2023-01-01
C156,Cust_156,cust156@mail.com,Bronze,0.0,,,9290894296,2023-01-01
C157,Cust_157,cust157@mail.com,Bronze,0.0,,,9329233929,2023-01-01
C158,Cust_158,cust158@mail.com,Gold,0.0,,,9269942642,2023-01-01
C159,Cust_159,cust159@mail.com,Bronze,0.0,,,9247538338,2023-01-01
C161,Cust_161,cust161@mail.com,Bronze,0.0,,,9774473159,2023-01-01
C162,Cust_162,cust162@mail.com,Silver,0.0,,,9206785808,2023-01-01
C163,Cust_163,cust163@mail.com,Gold,0.0,,,9338817025,2023-01-01
C164,Cust_164,cust164@mail.com,Gold,0.0,,,9128370927,2023-01-01
C165,Cust_165,invalid_email,Bronze,0.0,,,9797662466,2023-01-01
C166,Cust_166,cust166@mail.com,Silver,0.0,,,9575379544,2023-01-01
C167,Cust_167,cust167@mail.com,Bronze,0.0,,,9818394863,2023-01-01
